舟行直播,#genre#
舟行纪实,https://vdsbkup-tcloud-pull.hydun.com/live/SFhuman.m3u8

央视纪录,#genre#
CCTV-9纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CGTN纪录,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8

纪录频道,#genre#
北京纪实科教8K,http://49.7.69.235/downflv.brtvcloud.com/8klive/8kliveok.m3u8
北京纪实科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
上海纪实人文,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8
湖南金鹰纪实,http://phonetx.qing.mgtv.com/nn_live/nn_x64/0.0&/JYJSMPP360.m3u8#http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031203/1.m3u8
浙江之江纪录,https://ali-vl.cztv.com/channels/lantian/channel012/360p.m3u8
南京文旅纪录,http://live.nbs.cn/channels/njtv/wljl/nbs24.m3u8
苏州4K,https://tylive.kan0512.com:443/norecord/csztv4k_fhd.m3u8

珠三角频道,#genre#
惠州综合,http://b.ds2.hztvmg.com/AppName/StreamName.m3u8
惠州公共,http://113.76.151.23:4022/udp/239.77.1.233:5146
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
深圳移动,http://113.76.151.23:4022/udp/239.77.1.175:5146
深圳众创TV,http://zhfw-t.szlg.com:8080/live/television2.m3u8#http://113.76.151.23:4022/udp/239.77.1.247:5146
河源综合,https://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源公共,https://tmpstream.hyrtv.cn/hygg/sd/live.m3u8

教育频道,#genre#
中国国际教育1,http://play.cec-tv.com.cn/channel/cec-tv1.m3u8
中国国际教育2,http://play.cec-tv.com.cn/channel/cec-tv2.m3u8
中国国际教育3,http://play.cec-tv.com.cn/channel/cec-tv3.m3u8
中国国际教育4,http://play.cec-tv.com.cn/channel/cec-tv4.m3u8
中国国际少儿,https://livesec.mudu.tv:443/watch/bk8coj.m3u8
全国党员教育,https://12371wbndali.v.myalicdn.com:443/12371wbnd/dangyuanwang_2hd.m3u8
中学生,http://60.255.240.247:8090/live/zxs_4000.m3u8#http://gmxw.7766.org:808/hls/24/index.m3u8
昆明教育,http://ynxsj.7766.org:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=0&authid=0
郑州教育,https://livezzutv.chinamcache.com/zb02/zb02.m3u8?auth_key=1694413413-0-0-fdccf5824fa42b4a2e285f73e7d2d12b
武汉教育,http://stream.appwuhan.com/jyzb/sd/live.m3u8
金色学堂,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000010000026105/1.m3u8

地方频道,#genre#
浙江民生休闲,https://ali-vl.cztv.com/channels/lantian/channel006/360p.m3u8
云南导视,https://www.ynbit.com:1937/cyds-mlyn/livestream/chunklist_w1032454991.m3u8
郑州铁路,http://39.162.27.11:8081/newlive/live/hls/1/live.m3u8
淮北矿业,http://xcblive.hbcoal.com/3/sd/live.m3u8
淮河能源,http://play.hhnynews.com/huaihe/online.m3u8?auth_key=1720572937-0-0-ebd6c35757d0771723a94f37aa4b3b99
宁安综合,https://rmplive.hljtv.com/live/ningan.m3u8
依兰综合,https://rmplive.hljtv.com/live/yilan.m3u8
人民铁道,http://39.162.27.11:8081/newlive/live/hls/2/live.m3u8
武汉文体,http://stream.appwuhan.com/5tzb/sd/live.m3u8

数字付费,#genre#
求索记录4K,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227381/index.m3u8
求索记录,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000004000000010/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000010&IAS
求索动物,http://[2409:8087:5e08:24::11]:6610/000000001000/2000000004000000009/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000009&IASHttpSessionId=OTT19019320240419154124000281
求索科学,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000004000000011/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000011&IASHttpSessionId=OTT19019320240419154124000281
求索生活,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000004000000008/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000008&IASHttpSessionId=OTT19019320240419154124000281
漫游世界,http://[2409:8087:5e08:24::11]:6610/000000001000/2000000004000000017/1.m3u8?channel-id=hnbblive&Contentid=2000000004000000017&livemode=1&stbId=3
探索纪录,http://[2409:8087:5e08:24::11]:6610/000000001000/2000000004000000007/1.m3u8?channel-id=hnbblive&Contentid=2000000004000000007&livemode=1&stbId=3
中国交通,http://39.134.134.51/000000000001/PLTV/88888888/224/3221284618/index.m3u8?HlsProfileId=
游戏风云,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031114/1.m3u8
乐游频道,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031112/1.m3u8
江西陶瓷,http://58.144.154.93/yun-live.jxtvcn.com.cn/live-jxtv/tv_taoci.m3u8#http://180.212.166.214:4022/udp/239.5.1.45:5000#http://www.weihuaz.icu:8888/udp/239.252.220.243:5140
北方导视,http://120.76.248.139/live/bfgd/4200000187.m3u8#http://lu1.cc/c/time/php/bfgd.php?id=bfds
法治天地,http://[2409:8087:5e08:24::11]:6610/000000001000/2000000002000000014/1.m3u8?channel-id=hnbblive&Contentid=2000000002000000014&livemode=1&stbId=3#http://120.76.248.139/live/bfgd/4200000162.m3u8#http://lu1.cc/c/time/php/bfgd.php?id=fztd
先锋影视,https://netlive.zhxwzx.com/live/ZHTV-1.m3u8
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv#http://120.76.248.139/live/bfgd/4200000636.m3u8
imode时尚频道,http://player.juyun.tv:80/camera/137932133.m3u8
中国气象,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8#http://120.76.248.139/live/bfgd/4200000160.m3u8#http://lu1.cc/c/time/php/bfgd.php?id=zgtq
书画频道,http://211.103.180.178:8233/live_hls/hdmi.m3u8
绿色林都,https://liveplaysr.dbw.cn:443/lsdream/6i4bn74/2000/live.m3u8
中华特产,http://218.86.143.87:9527/udp/238.255.3.106:5999#http://183.215.116.134:6610/180000001001/00000001000000000050000000448845/main.m3u8?IASHttpSessionId=OTT&#http://120.76.248.139/live/bfgd/4200000158.m3u8#http://lu1.cc/c/time/php/bfgd.php?id=zhtc
环球旅游,http://183.215.116.134:6610/180000001001/00000001000000000064000000308870/main.m3u8?IASHttpSessionId=OTT&#http://120.76.248.139/live/bfgd/4200000147.m3u8#http://lu1.cc/c/time/php/bfgd.php?id=hqly
人物频道,http://110.157.220.240:8088/udp/238.125.5.109:5140
中华美食,http://[2409:8087:5e08:24::11]:6610/000000001000/2000000003000000052/1.m3u8?channel-id=hnbblive&Contentid=2000000003000000052&livemode=1&stbId=3
#http://106.116.2.146:8890/udp/239.254.201.189:7171#http://180.212.166.214:4022/udp/239.5.1.53:5000
百姓健康,https://play-hsbj.vzan.com:443/2146882248/645899275683339739/live.m3u8
证券服务,http://120.76.248.139/live/bfgd/4200000601.m3u8#http://lu1.cc/c/time/php/bfgd.php?id=zqfw

网络频道,#genre#
不息传播,http://allinone.netsite.cc/bilibili/24290456
Carrot TV,http://vdsbkup-tcloud-pull.hydun.com/live/CarrotTV.m3u8
神兵卡通,
